disorder_group,ICD10_Code,description,flag
Substance-Related and Addictive Disorders,F11.94,"Opioid use, unspecified with opioid-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F11.950,"Opioid use, unspecified with opioid-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F11.951,"Opioid use, unspecified with opioid-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F11.959,"Opioid use, unspecified with opioid-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F11.981,"Opioid use, unspecified with opioid-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F11.982,"Opioid use, unspecified with opioid-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F11.988,"Opioid use, unspecified with other opioid-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F11.99,"Opioid use, unspecified with unspecified opioid-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F12.10,"Cannabis abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F12.120,"Cannabis abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F12.121,Cannabis abuse with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F12.122,Cannabis abuse with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F12.129,"Cannabis abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F12.150,Cannabis abuse with psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F12.151,Cannabis abuse with psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F12.159,"Cannabis abuse with psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F12.180,Cannabis abuse with cannabis-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F12.188,Cannabis abuse with other cannabis-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F12.19,Cannabis abuse with unspecified cannabis-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F12.20,"Cannabis dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F12.21,"Cannabis dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F12.220,"Cannabis dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F12.221,Cannabis dependence with intoxication delirium,originalCodes
Substance-Related and Addictive Disorders,F12.222,Cannabis dependence with intoxication with perceptual disturbance,originalCodes
Substance-Related and Addictive Disorders,F12.229,"Cannabis dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F12.23,Cannabis dependence with withdrawal,originalCodes
Substance-Related and Addictive Disorders,F12.250,Cannabis dependence with psychotic disorder with delusions,originalCodes
Substance-Related and Addictive Disorders,F12.251,Cannabis dependence with psychotic disorder with hallucinations,originalCodes
Substance-Related and Addictive Disorders,F12.259,"Cannabis dependence with psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F12.280,Cannabis dependence with cannabis-induced anxiety disorder,originalCodes
Substance-Related and Addictive Disorders,F12.288,Cannabis dependence with other cannabis-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F12.29,Cannabis dependence with unspecified cannabis-induced disorder,originalCodes
Substance-Related and Addictive Disorders,F12.90,"Cannabis use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F12.920,"Cannabis use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F12.921,"Cannabis use, unspecified with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F12.922,"Cannabis use, unspecified with intoxication with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F12.929,"Cannabis use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F12.93,"Cannabis use, unspecified with withdrawal",originalCodes
Substance-Related and Addictive Disorders,F12.950,"Cannabis use, unspecified with psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F12.951,"Cannabis use, unspecified with psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F12.959,"Cannabis use, unspecified with psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F12.980,"Cannabis use, unspecified with anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F12.988,"Cannabis use, unspecified with other cannabis-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F12.99,"Cannabis use, unspecified with unspecified cannabis-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F13.10,"Sedative, hypnotic or anxiolytic abuse, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.120,"Sedative, hypnotic or anxiolytic abuse with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.121,"Sedative, hypnotic or anxiolytic abuse with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F13.129,"Sedative, hypnotic or anxiolytic abuse with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.14,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F13.150,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F13.151,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F13.159,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.180,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F13.181,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F13.182,"Sedative, hypnotic or anxiolytic abuse with sedative, hypnotic or anxiolytic-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F13.188,"Sedative, hypnotic or anxiolytic abuse with other sedative, hypnotic or anxiolytic-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F13.19,"Sedative, hypnotic or anxiolytic abuse with unspecified sedative, hypnotic or anxiolytic-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F13.20,"Sedative, hypnotic or anxiolytic dependence, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.21,"Sedative, hypnotic or anxiolytic dependence, in remission",originalCodes
Substance-Related and Addictive Disorders,F13.220,"Sedative, hypnotic or anxiolytic dependence with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.221,"Sedative, hypnotic or anxiolytic dependence with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F13.229,"Sedative, hypnotic or anxiolytic dependence with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.230,"Sedative, hypnotic or anxiolytic dependence with withdrawal, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.231,"Sedative, hypnotic or anxiolytic dependence with withdrawal delirium",originalCodes
Substance-Related and Addictive Disorders,F13.232,"Sedative, hypnotic or anxiolytic dependence with withdrawal with perceptual disturbance",originalCodes
Substance-Related and Addictive Disorders,F13.239,"Sedative, hypnotic or anxiolytic dependence with withdrawal, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.24,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F13.250,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F13.251,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F13.259,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.26,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder",originalCodes
Substance-Related and Addictive Disorders,F13.27,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced persisting dementia",originalCodes
Substance-Related and Addictive Disorders,F13.280,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced anxiety disorder",originalCodes
Substance-Related and Addictive Disorders,F13.281,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sexual dysfunction",originalCodes
Substance-Related and Addictive Disorders,F13.282,"Sedative, hypnotic or anxiolytic dependence with sedative, hypnotic or anxiolytic-induced sleep disorder",originalCodes
Substance-Related and Addictive Disorders,F13.288,"Sedative, hypnotic or anxiolytic dependence with other sedative, hypnotic or anxiolytic-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F13.29,"Sedative, hypnotic or anxiolytic dependence with unspecified sedative, hypnotic or anxiolytic-induced disorder",originalCodes
Substance-Related and Addictive Disorders,F13.90,"Sedative, hypnotic, or anxiolytic use, unspecified, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.920,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.921,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication delirium",originalCodes
Substance-Related and Addictive Disorders,F13.929,"Sedative, hypnotic or anxiolytic use, unspecified with intoxication, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.930,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, uncomplicated",originalCodes
Substance-Related and Addictive Disorders,F13.931,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal delirium",originalCodes
Substance-Related and Addictive Disorders,F13.932,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal with perceptual disturbances",originalCodes
Substance-Related and Addictive Disorders,F13.939,"Sedative, hypnotic or anxiolytic use, unspecified with withdrawal, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.94,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced mood disorder",originalCodes
Substance-Related and Addictive Disorders,F13.950,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with delusions",originalCodes
Substance-Related and Addictive Disorders,F13.951,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder with hallucinations",originalCodes
Substance-Related and Addictive Disorders,F13.959,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced psychotic disorder, unspecified",originalCodes
Substance-Related and Addictive Disorders,F13.96,"Sedative, hypnotic or anxiolytic use, unspecified with sedative, hypnotic or anxiolytic-induced persisting amnestic disorder",originalCodes
